,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
intj num,,,,,,,,,,,,
intj num emoji,,,,,,,,,,,,
intj num intj,,,,,,,,,,,,
intj num intj pron,,,,,,,,,,,,
intj num noun,,,,,,,,,,,,
intj num noun adj,,,,,,,,,,,,
intj num noun adp,,,,,,,,,,,,
intj num noun noun,,,,,,,,,,,,
intj num propn,,,,,,,,,,,,
intj num propn propn,,,,,,,,,,,,
intj num verb,,,,,,,,,,,,
intj num verb propn,,,,,,,,,,,,
intj pron,,,,,,,,,,,,
intj pron adj,,,,,,,,,,,,
intj pron adj adv,,,,,,,,,,,,
intj pron adj noun,,,,,,,,,,,,
intj pron adj verb,,,,,,,,,,,,
intj pron adv,,,,,,,,,,,,
intj pron noun,,,,,,,,,,,,
intj pron noun noun,,,,,,,,,,,,
intj pron verb,,,,,,,,,,,,
intj pron verb adj,,,,,,,,,,,,
intj pron verb adp,,,,,,,,,,,,
intj pron verb emoji,,,,,,,,,,,,
intj pron verb noun,,,,,,,,,,,,
intj pron verb pron,,,,,,,,,,,,
intj pron verb propn,,,,,,,,,,,,
intj pron verb verb,,,,,,,,,,,,
intj propn,,,,,,,,,,,,
intj propn adj,,,,,,,,,,,,
intj propn adj noun,,,,,,,,,,,,
intj propn intj,,,,,,,,,,,,
intj propn intj noun,,,,,,,,,,,,
intj propn noun,,,,,,,,,,,,
intj propn noun adj,,,,,,,,,,,,
intj propn noun noun,,,,,,,,,,,,
intj propn noun num,,,,,,,,,,,,
intj propn noun propn,,,,,,,,,,,,
intj propn num,,,,,,,,,,,,
intj propn num verb,,,,,,,,,,,,
intj propn pron,,,,,,,,,,,,
intj propn pron adj,,,,,,,,,,,,
intj propn propn,,,,,,,,,,,,
intj propn propn adj,,,,,,,,,,,,
intj propn propn emoji,,,,,,,,,,,,
intj propn propn pron,,,,,,,,,,,,
intj propn propn verb,,,,,,,,,,,,
intj propn verb,,,,,,,,,,,,
intj propn verb noun,,,,,,,,,,,,
intj propn verb verb,,,,,,,,,,,,
intj verb,,,,,,,,,,,,
intj verb adj,,,,,,,,,,,,
intj verb adj noun,,,,,,,,,,,,
intj verb adv,,,,,,,,,,,,
intj verb adv adj,,,,,,,,,,,,
intj verb adv noun,,,,,,,,,,,,
intj verb intj,,,,,,,,,,,,
intj verb intj noun,,,,,,,,,,,,
intj verb noun,,,,,,,,,,,,
intj verb noun adv,,,,,,,,,,,,
intj verb noun noun,,,,,,,,,,,,
intj verb noun pron,,,,,,,,,,,,
intj verb noun verb,,,,,,,,,,,,
intj verb propn,,,,,,,,,,,,
intj verb propn propn,,,,,,,,,,,,
intj verb verb,,,,,,,,,,,,
intj verb verb adj,,,,,,,,,,,,
intj verb verb noun,,,,,,,,,,,,
intj verb verb verb,,,,,,,,,,,,
noun adj,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
noun adj adj,,,,,,,,,,,,
noun adj adj adj,,,,,,,,,,,,
noun adj adj noun,,,,,,,,,,,,
noun adj adv,,,,,,,,,,,,
noun adj adv adj,,,,,,,,,,,,
noun adj adv noun,,,,,,,,,,,,
noun adj adv propn,,,,,,,,,,,,
noun adj adv verb,,,,,,,,,,,,
noun adj emoji,,,,,,,,,,,,
noun adj noun,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,-0.20000000000000007,0.704,1.0,0.0
noun adj noun adj,,,,,,,,,,,,
noun adj noun adp,,,,,,,,,,,,
noun adj noun adv,,,,,,,,,,,,
noun adj noun emoji,,,,,,,,,,,,
noun adj noun intj,,,,,,,,,,,,
noun adj noun noun,,,,,,,,,,,,
noun adj noun num,,,,,,,,,,,,
noun adj noun pron,,,,,,,,,,,,
noun adj noun propn,,,,,,,,,,,,
noun adj noun verb,,,,,,,,,,,,
noun adj num,,,,,,,,,,,,
noun adj num noun,,,,,,,,,,,,
noun adj pron,,,,,,,,,,,,
noun adj pron verb,,,,,,,,,,,,
noun adj propn,,,,,,,,,,,,
noun adj propn adj,,,,,,,,,,,,
noun adj propn noun,,,,,,,,,,,,
noun adj propn verb,,,,,,,,,,,,
noun adj verb,,,,,,,,,,,,
noun adj verb adj,,,,,,,,,,,,
noun adj verb adp,,,,,,,,,,,,
noun adj verb emoji,,,,,,,,,,,,
noun adj verb noun,,,,,,,,,,,,
noun adj verb num,,,,,,,,,,,,
noun adj verb pron,,,,,,,,,,,,
noun adj verb verb,,,,,,,,,,,,
noun adp,,,,,,,,,,,,
noun adp adj,,,,,,,,,,,,
noun adp adp,,,,,,,,,,,,
noun adp adp noun,,,,,,,,,,,,
noun adp intj,,,,,,,,,,,,
noun adp noun,,,,,,,,,,,,
noun adp noun verb,,,,,,,,,,,,
noun adp num,,,,,,,,,,,,
noun adp num verb,,,,,,,,,,,,
noun adp pron,,,,,,,,,,,,
noun adp pron verb,,,,,,,,,,,,
noun adp propn,,,,,,,,,,,,
noun adp propn noun,,,,,,,,,,,,
noun adp propn num,,,,,,,,,,,,
noun adp propn propn,,,,,,,,,,,,
noun adp verb,,,,,,,,,,,,
noun adp verb noun,,,,,,,,,,,,
noun adp verb pron,,,,,,,,,,,,
noun adv,,,,,,,,,,,,
noun adv adj,,,,,,,,,,,,
noun adv adj adj,,,,,,,,,,,,
noun adv adj adv,,,,,,,,,,,,
noun adv adj noun,,,,,,,,,,,,
noun adv adj verb,,,,,,,,,,,,
noun adv adv,,,,,,,,,,,,
noun adv adv adj,,,,,,,,,,,,
noun adv adv noun,,,,,,,,,,,,
noun adv adv pron,,,,,,,,,,,,
noun adv emoji,,,,,,,,,,,,
noun adv noun,,,,,,,,,,,,
noun adv noun adv,,,,,,,,,,,,
noun adv noun noun,,,,,,,,,,,,
noun adv noun num,,,,,,,,,,,,
noun adv noun verb,,,,,,,,,,,,
noun adv pron,,,,,,,,,,,,
noun adv pron verb,,,,,,,,,,,,
noun adv propn,,,,,,,,,,,,
noun adv propn noun,,,,,,,,,,,,
noun adv propn propn,,,,,,,,,,,,
noun adv verb,,,,,,,,,,,,
noun adv verb adj,,,,,,,,,,,,
noun adv verb adp,,,,,,,,,,,,
noun adv verb adv,,,,,,,,,,,,
noun adv verb noun,,,,,,,,,,,,
noun adv verb pron,,,,,,,,,,,,
noun adv verb propn,,,,,,,,,,,,
noun adv verb verb,,,,,,,,,,,,
noun emoji,,,,,,,,,,,,
noun emoji emoji,,,,,,,,,,,,
noun emoji emoji emoji,,,,,,,,,,,,
noun emoji num,,,,,,,,,,,,
noun emoji num noun,,,,,,,,,,,,
noun emoji num num,,,,,,,,,,,,
noun intj,,,,,,,,,,,,
noun intj adj,,,,,,,,,,,,
noun intj adj noun,,,,,,,,,,,,
noun intj adj pron,,,,,,,,,,,,
noun intj adj verb,,,,,,,,,,,,
noun intj adv,,,,,,,,,,,,
noun intj adv adv,,,,,,,,,,,,
noun intj adv noun,,,,,,,,,,,,
noun intj noun,,,,,,,,,,,,
noun intj noun adj,,,,,,,,,,,,
noun intj noun emoji,,,,,,,,,,,,
noun intj noun verb,,,,,,,,,,,,
noun intj num,,,,,,,,,,,,
