,Direct Harassment corr coeff,Direct Harassment p-val,Hate Speech corr coeff,Hate Speech p-val,Others corr coeff,Others p-val,Sexual Harassment corr coeff,Sexual Harassment p-val,Toxic corr coeff,Toxic p-val,Trolling corr coeff,Trolling p-val
adj propn verb noun,,,,,,,,,,,,
adj propn verb pron,,,,,,,,,,,,
adj propn verb verb,,,,,,,,,,,,
adj punct,,,,,,,,,,,,
adj punct adj,,,,,,,,,,,,
adj punct adj noun,,,,,,,,,,,,
adj punct adp,,,,,,,,,,,,
adj punct adp noun,,,,,,,,,,,,
adj punct adp pron,,,,,,,,,,,,
adj punct adp propn,,,,,,,,,,,,
adj punct adv,,,,,,,,,,,,
adj punct adv adj,,,,,,,,,,,,
adj punct adv adv,,,,,,,,,,,,
adj punct adv det,,,,,,,,,,,,
adj punct adv intj,,,,,,,,,,,,
adj punct adv noun,,,,,,,,,,,,
adj punct adv pron,,,,,,,,,,,,
adj punct adv punct,,,,,,,,,,,,
adj punct adv verb,,,,,,,,,,,,
adj punct aux,,,,,,,,,,,,
adj punct aux adj,,,,,,,,,,,,
adj punct aux adv,,,,,,,,,,,,
adj punct aux det,,,,,,,,,,,,
adj punct aux verb,,,,,,,,,,,,
adj punct cconj,,,,,,,,,,,,
adj punct cconj adp,,,,,,,,,,,,
adj punct cconj adv,,,,,,,,,,,,
adj punct cconj det,,,,,,,,,,,,
adj punct cconj noun,,,,,,,,,,,,
adj punct cconj pron,,,,,,,,,,,,
adj punct det,,,,,,,,,,,,
adj punct det aux,,,,,,,,,,,,
adj punct det noun,,,,,,,,,,,,
adj punct det num,,,,,,,,,,,,
adj punct det verb,,,,,,,,,,,,
adj punct emoji,,,,,,,,,,,,
adj punct intj,,,,,,,,,,,,
adj punct intj adj,,,,,,,,,,,,
adj punct noun,,,,,,,,,,,,
adj punct noun adv,,,,,,,,,,,,
adj punct noun aux,,,,,,,,,,,,
adj punct noun cconj,,,,,,,,,,,,
adj punct noun det,,,,,,,,,,,,
adj punct noun noun,,,,,,,,,,,,
adj punct noun punct,,,,,,,,,,,,
adj punct pron,,,,,,,,,,,,
adj punct pron adj,,,,,,,,,,,,
adj punct pron aux,,,,,,,,,,,,
adj punct pron noun,,,,,,,,,,,,
adj punct pron pron,,,,,,,,,,,,
adj punct pron verb,,,,,,,,,,,,
adj punct propn,,,,,,,,,,,,
adj punct propn aux,,,,,,,,,,,,
adj punct propn emoji,,,,,,,,,,,,
adj punct propn noun,,,,,,,,,,,,
adj punct punct,,,,,,,,,,,,
adj punct punct noun,,,,,,,,,,,,
adj punct punct punct,,,,,,,,,,,,
adj punct sconj,,,,,,,,,,,,
adj punct sconj adj,,,,,,,,,,,,
adj punct sconj propn,,,,,,,,,,,,
adj punct sym,,,,,,,,,,,,
adj punct sym propn,,,,,,,,,,,,
