,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
america president,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america president trump,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america red,,,,,,
america right,,,,,,
america right thing,,,,,,
america servant,,,,,,
america servant pres,,,,,,
america socialism,,,,,,
america socialism country,,,,,,
america strong,,,,,,
america thank,,,,,,
america thanksdoc,,,,,,
america thanksdoc thanksdoc,,,,,,
america theory,,,,,,
america theory thatâ,,,,,,
america trump,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america trump 2020,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
america trump pence,,,,,,
america vote,0.13284223283101432,0.6642111641550715,-0.5313689313240573,0.3985266984930429,-0.5313689313240573,-0.13284223283101432
america vote biden,-0.4242640687119286,0.5656854249492381,-0.4242640687119286,0.5656854249492381,-0.4242640687119286,0.14142135623730953
america vote red,,,,,,
america vote trump,0.632455532033676,0.632455532033676,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
america wake,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.7745966692414834
america wake france,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.7745966692414834
america want,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838,0.632455532033676,-0.316227766016838
america win,,,,,,
america wins,,,,,,
america world,,,,,,
america year,,,,,,
america âœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœš,,,,,,
america ðÿ,,,,,,
america ðÿš,,,,,,
america ðÿš ðÿš,,,,,,
american citizen,,,,,,
american dream,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
american dream biden,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007
american great,,,,,,
american hero,,,,,,
american history,,,,,,
american hope,,,,,,
american jobs,,,,,,
american justice,,,,,,
american justice corrupt,,,,,,
american love,,,,,,
american love trump,,,,,,
american patriot,,,,,,
american patriots,,,,,,
american people,0.7745966692414834,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934
american people know,,,,,,
american people love,,,,,,
american people pray,,,,,,
american people trump,,,,,,
american people vote,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
american revolution,,,,,,
american save,,,,,,
american save world,,,,,,
american say,,,,,,
american totally,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
american totally fake,-0.316227766016838,0.632455532033676,-0.316227766016838,0.632455532033676,-0.316227766016838,-0.316227766016838
american traitor,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
american trump,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
american way,,,,,,
american way life,,,,,,
americans let,,,,,,
americans love,0.4472135954999579,0.4472135954999579,-0.4472135954999579,-0.4472135954999579,-0.4472135954999579,0.4472135954999579
americans make,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
americans make red,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
americans support,,,,,,
americans trump,,,,,,
americans trump 2020,,,,,,
americans vote,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.7745966692414834
americans vote satanist,-0.3098386676965934,0.46475800154489,-0.3098386676965934,-0.3098386676965934,-0.3098386676965934,0.7745966692414834
americans vote trump,,,,,,
americaðÿ ðÿ,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
americaðÿ ðÿ ðÿ,-0.20000000000000007,1.0,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007,-0.20000000000000007
amirica great,0.0,0.674199862463242,-0.5393598899705937,-0.5393598899705937,0.0,0.40451991747794525
amirica great trump,0.0,0.674199862463242,-0.5393598899705937,-0.5393598899705937,0.0,0.40451991747794525
amish trump,,,,,,
amy coney,,,,,,
amy coney barrett,,,,,,
amã rica,,,,,,
amã rica prosperity,,,,,,
