,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
biden cheat,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
biden come,,,,,,
biden country,,,,,,
biden dead,0.0,0.704,0.704,0.704,0.704,0.704
biden desk,,,,,,
biden devils,0.704,0.704,0.704,0.704,0.704,0.0
biden devils spoil,0.704,0.704,0.704,0.704,0.704,0.0
biden disgrace,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
biden disgrace usa,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
biden dog,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden dog care,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden enjoy,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden enjoy prison,0.1778078083562211,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848
biden excuse,,,,,,
biden excuse want,,,,,,
biden harris,,,,,,
biden harris kelly,,,,,,
biden hhaha,,,,,,
biden hike,,,,,,
biden hike taxi,,,,,,
biden hurt,0.0,0.704,0.704,0.704,0.704,0.704
biden hurt play,0.0,0.704,0.704,0.704,0.704,0.704
biden joke,0.0,0.704,0.704,0.704,0.704,0.704
biden laptop,0.704,0.704,0.704,0.0,0.704,0.704
biden laptop matter,0.704,0.704,0.704,0.0,0.704,0.704
biden leave,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden leave swamp,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
biden lifetime,,,,,,
biden lifetime bar,,,,,,
biden lock,0.704,0.704,0.704,0.0,0.704,0.704
biden lock stop,0.704,0.704,0.704,0.0,0.704,0.704
biden long,,,,,,
biden long live,,,,,,
biden look,,,,,,
biden look actual,,,,,,
biden lose,,,,,,
biden lose election,,,,,,
biden new,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
biden new president,0.1778078083562211,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.5414697392755848,0.1778078083562211
biden nt,,,,,,
biden nt white,,,,,,
biden oh,0.0,0.704,0.704,0.704,0.704,0.704
