,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
admit communist,0.14192744777405547,0.6052866259760656,0.2694125126761958,0.7989658591927786,0.2694125126761958,0.6052866259760656
admit communist check,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.5501142545045465
admit extensive,0.704,0.704,0.704,0.0,0.704,0.704
admit extensive voter,0.704,0.704,0.704,0.0,0.704,0.704
af1 af2,,,,,,
af1 come,,,,,,
af1 come canada,,,,,,
african american,,,,,,
african americans,,,,,,
ahead 197,,,,,,
ahead 197 pts,,,,,,
ai black,0.704,0.0,0.704,0.704,0.704,0.704
aint black,0.704,0.0,0.704,0.704,0.704,0.704
air force,,,,,,
air harris,0.704,0.704,0.704,0.0,0.704,0.704
air harris aka,0.704,0.704,0.704,0.0,0.704,0.704
airforce c32a,,,,,,
airforce c32a 90016,,,,,,
airforce halfway,,,,,,
airforce halfway canadian,,,,,,
airmen trump,,,,,,
aka hot,0.704,0.704,0.704,0.0,0.704,0.704
aka hot dog,0.704,0.704,0.704,0.0,0.704,0.704
aka hyena,0.704,0.704,0.704,0.0,0.704,0.704
aka hyena auschwitz,0.704,0.704,0.704,0.0,0.704,0.704
alberta canada,,,,,,
alex jones,,,,,,
algoruthem channel,0.704,0.0,0.704,0.704,0.704,0.704
algoruthem channel thumbs,0.704,0.0,0.704,0.704,0.704,0.704
alien trump,0.704,0.704,0.704,0.0,0.704,0.704
allow peoples,,,,,,
allow peoples business,,,,,,
allðÿ jedi,,,,,,
allðÿ jedi republic,,,,,,
alot people,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
alter election,,,,,,
alter election result,,,,,,
amazing coverage,,,,,,
amazing man,,,,,,
amazing president,,,,,,
amazing president trump,,,,,,
amazing speaker,,,,,,
amazon com,,,,,,
amazon com shop,,,,,,
amen amen,,,,,,
amen amen amen,,,,,,
amen brother,,,,,,
amen god,,,,,,
amen thank,,,,,,
amen thank god,,,,,,
amendment 2nd,,,,,,
amendment 2nd amendment,,,,,,
amendment stake,,,,,,
amendment stake wake,,,,,,
america _rsbnusa2,,,,,,
america america,,,,,,
america american,0.07048399691021993,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.5501142545045465
america american people,0.07048399691021993,0.3530568618495133,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.5501142545045465
america beacon,,,,,,
america beacon hope,,,,,,
america bear,,,,,,
america bear turn,,,,,,
america biden,0.5501142545045465,0.07048399691021993,0.5501142545045465,0.3530568618495133,0.5501142545045465,0.5501142545045465
america cccp,,,,,,
